mode,batch,group,layer,forwards,mean_query_tokens,mean_active_experts,mean_expert_coverage
delayed,1,2,4,10,20.9,47.3,0.184765625
delayed,1,2,5,10,20.9,41.8,0.16328125
delayed,1,2,6,10,20.9,42.2,0.16484375
delayed,1,2,7,10,20.9,47.2,0.184375
delayed,1,2,8,10,20.9,44.3,0.173046875
delayed,1,2,9,10,20.9,52.2,0.20390625
delayed,1,2,10,10,20.9,44.9,0.175390625
delayed,1,2,11,10,20.9,42.6,0.16640625
delayed,1,2,12,10,20.9,51.8,0.20234375
delayed,1,2,13,10,20.9,53.8,0.21015625
delayed,1,2,14,10,20.9,51.1,0.199609375
delayed,1,2,15,10,20.9,53.2,0.2078125
delayed,1,2,16,10,20.9,45.4,0.17734375
delayed,1,2,17,10,20.9,46.8,0.1828125
delayed,1,2,18,10,20.9,42.9,0.167578125
delayed,1,2,19,10,20.9,48.0,0.1875
delayed,1,3,1,25,21.2,50.12,0.19578125
delayed,1,3,2,25,21.2,49.2,0.1921875
delayed,1,3,3,25,21.2,49.56,0.19359375
delayed,1,3,4,25,21.2,46.56,0.181875
delayed,1,3,5,25,21.2,41.6,0.1625
delayed,1,3,6,25,21.2,38.92,0.15203125
delayed,1,3,7,25,21.2,51.8,0.20234375
delayed,1,3,8,25,21.2,39.64,0.15484375
delayed,1,3,9,25,21.2,43.88,0.17140625
delayed,1,3,10,25,21.2,41.44,0.161875
delayed,1,3,11,25,21.2,42.56,0.16625
delayed,1,3,12,25,21.2,44.68,0.17453125
delayed,1,3,13,25,21.2,45.36,0.1771875
delayed,1,3,14,25,21.2,47.84,0.186875
delayed,1,3,15,25,21.2,45.84,0.1790625
delayed,1,3,16,25,21.2,40.84,0.15953125
delayed,1,3,17,25,21.2,47.28,0.1846875
delayed,1,3,18,25,21.2,39.8,0.15546875
delayed,1,3,19,25,21.2,43.52,0.17
delayed,1,4,1,15,20.6,49.333333333333336,0.19270833333333334
delayed,1,4,2,15,20.6,49.666666666666664,0.19401041666666666
delayed,1,4,3,15,20.6,48.93333333333333,0.19114583333333332
delayed,1,4,4,15,20.6,44.93333333333333,0.17552083333333332
delayed,1,4,5,15,20.6,39.06666666666667,0.15260416666666668
delayed,1,4,6,15,20.6,41.46666666666667,0.16197916666666667
delayed,1,4,7,15,20.6,53.2,0.2078125
delayed,1,4,8,15,20.6,44.13333333333333,0.17239583333333333
delayed,1,4,9,15,20.6,50.666666666666664,0.19791666666666666
delayed,1,4,10,15,20.6,43.333333333333336,0.16927083333333334
delayed,1,4,11,15,20.6,43.733333333333334,0.17083333333333334
delayed,1,4,12,15,20.6,47.6,0.1859375
delayed,1,4,13,15,20.6,48.266666666666666,0.18854166666666666
delayed,1,4,14,15,20.6,47.53333333333333,0.18567708333333333
delayed,1,4,15,15,20.6,48.266666666666666,0.18854166666666666
delayed,1,4,16,15,20.6,44.06666666666667,0.17213541666666668
delayed,1,4,17,15,20.6,49.2,0.1921875
delayed,1,4,18,15,20.6,44.333333333333336,0.17317708333333334
delayed,1,4,19,15,20.6,47.4,0.18515625
delayed,1,5,1,18,20.61111111111111,44.55555555555556,0.1740451388888889
delayed,1,5,2,18,20.61111111111111,44.22222222222222,0.17274305555555555
delayed,1,5,3,18,20.61111111111111,46.72222222222222,0.18250868055555555
delayed,1,5,4,18,20.61111111111111,43.55555555555556,0.1701388888888889
delayed,1,5,5,18,20.61111111111111,38.0,0.1484375
delayed,1,5,6,18,20.61111111111111,36.611111111111114,0.1430121527777778
delayed,1,5,7,18,20.61111111111111,48.611111111111114,0.1898871527777778
delayed,1,5,8,18,20.61111111111111,38.44444444444444,0.1501736111111111
delayed,1,5,9,18,20.61111111111111,41.22222222222222,0.16102430555555555
delayed,1,5,10,18,20.61111111111111,39.666666666666664,0.15494791666666666
delayed,1,5,11,18,20.61111111111111,38.5,0.150390625
delayed,1,5,12,18,20.61111111111111,43.72222222222222,0.17078993055555555
delayed,1,5,13,18,20.61111111111111,38.94444444444444,0.1521267361111111
delayed,1,5,14,18,20.61111111111111,46.72222222222222,0.18250868055555555
delayed,1,5,15,18,20.61111111111111,47.55555555555556,0.1857638888888889
delayed,1,5,16,18,20.61111111111111,42.388888888888886,0.1655815972222222
delayed,1,5,17,18,20.61111111111111,38.27777777777778,0.14952256944444445
delayed,1,5,18,18,20.61111111111111,38.611111111111114,0.1508246527777778
delayed,1,5,19,18,20.61111111111111,45.166666666666664,0.17643229166666666
delayed,1,6,1,17,19.352941176470587,54.23529411764706,0.21185661764705882
delayed,1,6,2,17,19.352941176470587,51.94117647058823,0.20289522058823528
delayed,1,6,3,17,19.352941176470587,54.0,0.2109375
delayed,1,6,4,17,19.352941176470587,46.88235294117647,0.1831341911764706
delayed,1,6,5,17,19.352941176470587,39.529411764705884,0.15441176470588236
delayed,1,6,6,17,19.352941176470587,42.23529411764706,0.16498161764705882
delayed,1,6,7,17,19.352941176470587,50.411764705882355,0.19692095588235295
delayed,1,6,8,17,19.352941176470587,44.470588235294116,0.17371323529411764
delayed,1,6,9,17,19.352941176470587,50.76470588235294,0.19829963235294118
delayed,1,6,10,17,19.352941176470587,44.1764705882353,0.17256433823529413
delayed,1,6,11,17,19.352941176470587,46.05882352941177,0.17991727941176472
delayed,1,6,12,17,19.352941176470587,51.470588235294116,0.20105698529411764
delayed,1,6,13,17,19.352941176470587,47.411764705882355,0.18520220588235295
delayed,1,6,14,17,19.352941176470587,53.8235294117647,0.21024816176470587
delayed,1,6,15,17,19.352941176470587,53.35294117647059,0.20840992647058823
delayed,1,6,16,17,19.352941176470587,46.64705882352941,0.18221507352941177
delayed,1,6,17,17,19.352941176470587,43.76470588235294,0.17095588235294118
delayed,1,6,18,17,19.352941176470587,41.1764705882353,0.16084558823529413
delayed,1,6,19,17,19.352941176470587,49.11764705882353,0.1918658088235294
delayed,1,7,1,18,19.61111111111111,50.94444444444444,0.1990017361111111
delayed,1,7,2,18,19.61111111111111,50.611111111111114,0.1976996527777778
delayed,1,7,3,18,19.61111111111111,49.44444444444444,0.1931423611111111
delayed,1,7,4,18,19.61111111111111,42.94444444444444,0.1677517361111111
delayed,1,7,5,18,19.61111111111111,35.666666666666664,0.13932291666666666
delayed,1,7,6,18,19.61111111111111,36.833333333333336,0.14388020833333334
delayed,1,7,7,18,19.61111111111111,49.27777777777778,0.19249131944444445
delayed,1,7,8,18,19.61111111111111,40.27777777777778,0.15733506944444445
delayed,1,7,9,18,19.61111111111111,49.0,0.19140625
delayed,1,7,10,18,19.61111111111111,46.111111111111114,0.1801215277777778
delayed,1,7,11,18,19.61111111111111,40.666666666666664,0.15885416666666666
delayed,1,7,12,18,19.61111111111111,52.55555555555556,0.2052951388888889
delayed,1,7,13,18,19.61111111111111,46.833333333333336,0.18294270833333334
delayed,1,7,14,18,19.61111111111111,49.111111111111114,0.1918402777777778
delayed,1,7,15,18,19.61111111111111,50.333333333333336,0.19661458333333334
delayed,1,7,16,18,19.61111111111111,41.888888888888886,0.1636284722222222
delayed,1,7,17,18,19.61111111111111,46.611111111111114,0.1820746527777778
delayed,1,7,18,18,19.61111111111111,39.888888888888886,0.1558159722222222
delayed,1,7,19,18,19.61111111111111,47.388888888888886,0.1851128472222222
delayed,1,8,1,17,18.823529411764707,44.470588235294116,0.17371323529411764
delayed,1,8,2,17,18.823529411764707,44.76470588235294,0.17486213235294118
delayed,1,8,3,17,18.823529411764707,49.705882352941174,0.19416360294117646
delayed,1,8,4,17,18.823529411764707,42.470588235294116,0.16590073529411764
delayed,1,8,5,17,18.823529411764707,37.529411764705884,0.14659926470588236
delayed,1,8,6,17,18.823529411764707,36.1764705882353,0.14131433823529413
delayed,1,8,7,17,18.823529411764707,51.1764705882353,0.19990808823529413
delayed,1,8,8,17,18.823529411764707,43.11764705882353,0.1684283088235294
delayed,1,8,9,17,18.823529411764707,48.05882352941177,0.18772977941176472
delayed,1,8,10,17,18.823529411764707,36.529411764705884,0.14269301470588236
delayed,1,8,11,17,18.823529411764707,40.76470588235294,0.15923713235294118
delayed,1,8,12,17,18.823529411764707,39.64705882352941,0.15487132352941177
delayed,1,8,13,17,18.823529411764707,42.11764705882353,0.1645220588235294
delayed,1,8,14,17,18.823529411764707,46.411764705882355,0.18129595588235295
delayed,1,8,15,17,18.823529411764707,49.88235294117647,0.1948529411764706
delayed,1,8,16,17,18.823529411764707,40.35294117647059,0.15762867647058823
delayed,1,8,17,17,18.823529411764707,44.470588235294116,0.17371323529411764
delayed,1,8,18,17,18.823529411764707,36.0,0.140625
delayed,1,8,19,17,18.823529411764707,42.64705882352941,0.16659007352941177
delayed,1,9,1,20,18.55,42.1,0.164453125
delayed,1,9,2,20,18.55,41.95,0.1638671875
delayed,1,9,3,20,18.55,42.7,0.166796875
delayed,1,9,4,20,18.55,38.85,0.1517578125
delayed,1,9,5,20,18.55,37.3,0.145703125
delayed,1,9,6,20,18.55,36.8,0.14375
delayed,1,9,7,20,18.55,44.2,0.17265625
delayed,1,9,8,20,18.55,39.25,0.1533203125
delayed,1,9,9,20,18.55,42.8,0.1671875
delayed,1,9,10,20,18.55,40.45,0.1580078125
delayed,1,9,11,20,18.55,37.65,0.1470703125
delayed,1,9,12,20,18.55,46.1,0.180078125
delayed,1,9,13,20,18.55,44.3,0.173046875
delayed,1,9,14,20,18.55,46.1,0.180078125
delayed,1,9,15,20,18.55,43.0,0.16796875
delayed,1,9,16,20,18.55,40.75,0.1591796875
delayed,1,9,17,20,18.55,42.25,0.1650390625
delayed,1,9,18,20,18.55,39.1,0.152734375
delayed,1,9,19,20,18.55,41.35,0.1615234375
delayed,1,10,1,17,17.470588235294116,47.294117647058826,0.18474264705882354
delayed,1,10,2,17,17.470588235294116,45.76470588235294,0.17876838235294118
delayed,1,10,3,17,17.470588235294116,47.1764705882353,0.18428308823529413
delayed,1,10,4,17,17.470588235294116,45.588235294117645,0.17807904411764705
delayed,1,10,5,17,17.470588235294116,35.0,0.13671875
delayed,1,10,6,17,17.470588235294116,36.35294117647059,0.14200367647058823
delayed,1,10,7,17,17.470588235294116,48.588235294117645,0.18979779411764705
delayed,1,10,8,17,17.470588235294116,37.0,0.14453125
delayed,1,10,9,17,17.470588235294116,45.294117647058826,0.17693014705882354
delayed,1,10,10,17,17.470588235294116,39.11764705882353,0.1528033088235294
delayed,1,10,11,17,17.470588235294116,37.94117647058823,0.14820772058823528
delayed,1,10,12,17,17.470588235294116,42.529411764705884,0.16613051470588236
delayed,1,10,13,17,17.470588235294116,41.05882352941177,0.16038602941176472
delayed,1,10,14,17,17.470588235294116,48.294117647058826,0.18864889705882354
delayed,1,10,15,17,17.470588235294116,47.1764705882353,0.18428308823529413
delayed,1,10,16,17,17.470588235294116,44.705882352941174,0.17463235294117646
delayed,1,10,17,17,17.470588235294116,42.470588235294116,0.16590073529411764
delayed,1,10,18,17,17.470588235294116,36.529411764705884,0.14269301470588236
delayed,1,10,19,17,17.470588235294116,42.470588235294116,0.16590073529411764
delayed,1,11,1,11,20.454545454545453,50.72727272727273,0.1981534090909091
delayed,1,11,2,11,20.454545454545453,47.81818181818182,0.18678977272727273
delayed,1,11,3,11,20.454545454545453,52.72727272727273,0.2059659090909091
delayed,1,11,4,11,20.454545454545453,47.81818181818182,0.18678977272727273
delayed,1,11,5,11,20.454545454545453,39.27272727272727,0.1534090909090909
delayed,1,11,6,11,20.454545454545453,36.63636363636363,0.14311079545454544
delayed,1,11,7,11,20.454545454545453,53.81818181818182,0.21022727272727273
delayed,1,11,8,11,20.454545454545453,39.81818181818182,0.15553977272727273
delayed,1,11,9,11,20.454545454545453,51.09090909090909,0.19957386363636365
delayed,1,11,10,11,20.454545454545453,40.90909090909091,0.15980113636363635
delayed,1,11,11,11,20.454545454545453,39.27272727272727,0.1534090909090909
delayed,1,11,12,11,20.454545454545453,46.0,0.1796875
delayed,1,11,13,11,20.454545454545453,47.0,0.18359375
delayed,1,11,14,11,20.454545454545453,51.0,0.19921875
delayed,1,11,15,11,20.454545454545453,54.18181818181818,0.21164772727272727
delayed,1,11,16,11,20.454545454545453,46.09090909090909,0.18004261363636365
delayed,1,11,17,11,20.454545454545453,52.18181818181818,0.20383522727272727
delayed,1,11,18,11,20.454545454545453,43.18181818181818,0.16867897727272727
delayed,1,11,19,11,20.454545454545453,54.81818181818182,0.21413352272727273
delayed,1,12,1,24,18.041666666666668,49.125,0.19189453125
delayed,1,12,2,24,18.041666666666668,49.833333333333336,0.19466145833333334
delayed,1,12,3,24,18.041666666666668,47.625,0.18603515625
delayed,1,12,4,24,18.041666666666668,44.208333333333336,0.17268880208333334
delayed,1,12,5,24,18.041666666666668,36.833333333333336,0.14388020833333334
delayed,1,12,6,24,18.041666666666668,34.083333333333336,0.13313802083333334
delayed,1,12,7,24,18.041666666666668,44.75,0.1748046875
delayed,1,12,8,24,18.041666666666668,37.416666666666664,0.14615885416666666
delayed,1,12,9,24,18.041666666666668,44.208333333333336,0.17268880208333334
delayed,1,12,10,24,18.041666666666668,44.791666666666664,0.17496744791666666
delayed,1,12,11,24,18.041666666666668,34.041666666666664,0.13297526041666666
delayed,1,12,12,24,18.041666666666668,46.958333333333336,0.18343098958333334
delayed,1,12,13,24,18.041666666666668,37.166666666666664,0.14518229166666666
delayed,1,12,14,24,18.041666666666668,42.75,0.1669921875
delayed,1,12,15,24,18.041666666666668,43.5,0.169921875
delayed,1,12,16,24,18.041666666666668,40.083333333333336,0.15657552083333334
delayed,1,12,17,24,18.041666666666668,36.541666666666664,0.14274088541666666
delayed,1,12,18,24,18.041666666666668,33.166666666666664,0.12955729166666666
delayed,1,12,19,24,18.041666666666668,40.458333333333336,0.15804036458333334
delayed,1,13,1,18,20.11111111111111,45.22222222222222,0.17664930555555555
delayed,1,13,2,18,20.11111111111111,47.72222222222222,0.18641493055555555
delayed,1,13,3,18,20.11111111111111,47.5,0.185546875
delayed,1,13,4,18,20.11111111111111,43.0,0.16796875
delayed,1,13,5,18,20.11111111111111,38.0,0.1484375
delayed,1,13,6,18,20.11111111111111,37.55555555555556,0.1467013888888889
delayed,1,13,7,18,20.11111111111111,48.333333333333336,0.18880208333333334
delayed,1,13,8,18,20.11111111111111,37.388888888888886,0.1460503472222222
delayed,1,13,9,18,20.11111111111111,44.333333333333336,0.17317708333333334
delayed,1,13,10,18,20.11111111111111,42.94444444444444,0.1677517361111111
delayed,1,13,11,18,20.11111111111111,40.27777777777778,0.15733506944444445
delayed,1,13,12,18,20.11111111111111,44.888888888888886,0.1753472222222222
delayed,1,13,13,18,20.11111111111111,45.0,0.17578125
delayed,1,13,14,18,20.11111111111111,47.388888888888886,0.1851128472222222
delayed,1,13,15,18,20.11111111111111,48.5,0.189453125
delayed,1,13,16,18,20.11111111111111,41.94444444444444,0.1638454861111111
delayed,1,13,17,18,20.11111111111111,41.05555555555556,0.1603732638888889
delayed,1,13,18,18,20.11111111111111,38.72222222222222,0.15125868055555555
delayed,1,13,19,18,20.11111111111111,42.388888888888886,0.1655815972222222
delayed,1,14,1,17,19.41176470588235,48.88235294117647,0.1909466911764706
delayed,1,14,2,17,19.41176470588235,49.705882352941174,0.19416360294117646
delayed,1,14,3,17,19.41176470588235,47.8235294117647,0.18681066176470587
delayed,1,14,4,17,19.41176470588235,42.23529411764706,0.16498161764705882
delayed,1,14,5,17,19.41176470588235,39.76470588235294,0.15533088235294118
delayed,1,14,6,17,19.41176470588235,36.705882352941174,0.14338235294117646
delayed,1,14,7,17,19.41176470588235,48.470588235294116,0.18933823529411764
delayed,1,14,8,17,19.41176470588235,39.23529411764706,0.15326286764705882
delayed,1,14,9,17,19.41176470588235,46.76470588235294,0.18267463235294118
delayed,1,14,10,17,19.41176470588235,43.76470588235294,0.17095588235294118
delayed,1,14,11,17,19.41176470588235,39.705882352941174,0.15510110294117646
delayed,1,14,12,17,19.41176470588235,44.94117647058823,0.17555147058823528
delayed,1,14,13,17,19.41176470588235,43.23529411764706,0.16888786764705882
delayed,1,14,14,17,19.41176470588235,47.11764705882353,0.1840533088235294
delayed,1,14,15,17,19.41176470588235,48.470588235294116,0.18933823529411764
delayed,1,14,16,17,19.41176470588235,43.76470588235294,0.17095588235294118
delayed,1,14,17,17,19.41176470588235,45.64705882352941,0.17830882352941177
delayed,1,14,18,17,19.41176470588235,44.23529411764706,0.17279411764705882
delayed,1,14,19,17,19.41176470588235,44.35294117647059,0.17325367647058823
delayed,1,15,1,23,17.782608695652176,41.0,0.16015625
delayed,1,15,2,23,17.782608695652176,40.69565217391305,0.15896739130434784
delayed,1,15,3,23,17.782608695652176,42.04347826086956,0.16423233695652173
delayed,1,15,4,23,17.782608695652176,36.47826086956522,0.14249320652173914
delayed,1,15,5,23,17.782608695652176,35.73913043478261,0.13960597826086957
delayed,1,15,6,23,17.782608695652176,38.21739130434783,0.1492866847826087
delayed,1,15,7,23,17.782608695652176,43.17391304347826,0.16864809782608695
delayed,1,15,8,23,17.782608695652176,37.04347826086956,0.14470108695652173
delayed,1,15,9,23,17.782608695652176,39.26086956521739,0.15336277173913043
delayed,1,15,10,23,17.782608695652176,39.0,0.15234375
delayed,1,15,11,23,17.782608695652176,40.52173913043478,0.15828804347826086
delayed,1,15,12,23,17.782608695652176,42.0,0.1640625
delayed,1,15,13,23,17.782608695652176,44.869565217391305,0.17527173913043478
delayed,1,15,14,23,17.782608695652176,51.52173913043478,0.20125679347826086
delayed,1,15,15,23,17.782608695652176,43.130434782608695,0.16847826086956522
delayed,1,15,16,23,17.782608695652176,40.21739130434783,0.1570991847826087
delayed,1,15,17,23,17.782608695652176,36.52173913043478,0.14266304347826086
delayed,1,15,18,23,17.782608695652176,35.56521739130435,0.13892663043478262
delayed,1,15,19,23,17.782608695652176,38.21739130434783,0.1492866847826087
delayed,1,16,1,19,19.210526315789473,45.78947368421053,0.17886513157894737
delayed,1,16,2,19,19.210526315789473,46.73684210526316,0.1825657894736842
delayed,1,16,3,19,19.210526315789473,47.0,0.18359375
delayed,1,16,4,19,19.210526315789473,42.63157894736842,0.16652960526315788
delayed,1,16,5,19,19.210526315789473,36.05263157894737,0.14083059210526316
delayed,1,16,6,19,19.210526315789473,34.73684210526316,0.1356907894736842
delayed,1,16,7,19,19.210526315789473,50.10526315789474,0.19572368421052633
delayed,1,16,8,19,19.210526315789473,41.473684210526315,0.16200657894736842
delayed,1,16,9,19,19.210526315789473,42.421052631578945,0.16570723684210525
delayed,1,16,10,19,19.210526315789473,39.421052631578945,0.15398848684210525
delayed,1,16,11,19,19.210526315789473,37.68421052631579,0.14720394736842105
delayed,1,16,12,19,19.210526315789473,43.1578947368421,0.16858552631578946
delayed,1,16,13,19,19.210526315789473,42.94736842105263,0.16776315789473684
delayed,1,16,14,19,19.210526315789473,50.1578947368421,0.19592927631578946
delayed,1,16,15,19,19.210526315789473,47.526315789473685,0.18564967105263158
delayed,1,16,16,19,19.210526315789473,43.21052631578947,0.16879111842105263
delayed,1,16,17,19,19.210526315789473,40.36842105263158,0.15768914473684212
delayed,1,16,18,19,19.210526315789473,38.473684210526315,0.15028782894736842
delayed,1,16,19,19,19.210526315789473,44.421052631578945,0.17351973684210525
delayed,1,17,1,17,21.41176470588235,52.1764705882353,0.20381433823529413
delayed,1,17,2,17,21.41176470588235,52.11764705882353,0.2035845588235294
delayed,1,17,3,17,21.41176470588235,53.470588235294116,0.20886948529411764
delayed,1,17,4,17,21.41176470588235,48.05882352941177,0.18772977941176472
delayed,1,17,5,17,21.41176470588235,42.588235294117645,0.16636029411764705
delayed,1,17,6,17,21.41176470588235,40.88235294117647,0.1596966911764706
delayed,1,17,7,17,21.41176470588235,50.94117647058823,0.19898897058823528
delayed,1,17,8,17,21.41176470588235,42.8235294117647,0.16727941176470587
delayed,1,17,9,17,21.41176470588235,46.411764705882355,0.18129595588235295
delayed,1,17,10,17,21.41176470588235,46.88235294117647,0.1831341911764706
delayed,1,17,11,17,21.41176470588235,45.411764705882355,0.17738970588235295
delayed,1,17,12,17,21.41176470588235,51.11764705882353,0.1996783088235294
delayed,1,17,13,17,21.41176470588235,44.88235294117647,0.1753216911764706
delayed,1,17,14,17,21.41176470588235,49.588235294117645,0.19370404411764705
delayed,1,17,15,17,21.41176470588235,47.529411764705884,0.18566176470588236
delayed,1,17,16,17,21.41176470588235,44.76470588235294,0.17486213235294118
delayed,1,17,17,17,21.41176470588235,46.1764705882353,0.18037683823529413
delayed,1,17,18,17,21.41176470588235,37.64705882352941,0.14705882352941177
delayed,1,17,19,17,21.41176470588235,45.529411764705884,0.17784926470588236
delayed,1,18,1,17,18.0,47.294117647058826,0.18474264705882354
delayed,1,18,2,17,18.0,45.94117647058823,0.17945772058823528
delayed,1,18,3,17,18.0,49.05882352941177,0.19163602941176472
delayed,1,18,4,17,18.0,41.76470588235294,0.16314338235294118
delayed,1,18,5,17,18.0,35.705882352941174,0.13947610294117646
delayed,1,18,6,17,18.0,37.05882352941177,0.14476102941176472
delayed,1,18,7,17,18.0,42.23529411764706,0.16498161764705882
delayed,1,18,8,17,18.0,35.88235294117647,0.1401654411764706
delayed,1,18,9,17,18.0,40.35294117647059,0.15762867647058823
delayed,1,18,10,17,18.0,38.529411764705884,0.15050551470588236
delayed,1,18,11,17,18.0,40.35294117647059,0.15762867647058823
delayed,1,18,12,17,18.0,46.8235294117647,0.18290441176470587
delayed,1,18,13,17,18.0,40.529411764705884,0.15831801470588236
delayed,1,18,14,17,18.0,40.64705882352941,0.15877757352941177
delayed,1,18,15,17,18.0,46.294117647058826,0.18083639705882354
delayed,1,18,16,17,18.0,37.88235294117647,0.1479779411764706
delayed,1,18,17,17,18.0,38.411764705882355,0.15004595588235295
delayed,1,18,18,17,18.0,32.294117647058826,0.12614889705882354
delayed,1,18,19,17,18.0,40.294117647058826,0.15739889705882354
delayed,1,19,1,21,18.38095238095238,46.23809523809524,0.18061755952380953
delayed,1,19,2,21,18.38095238095238,45.57142857142857,0.17801339285714285
delayed,1,19,3,21,18.38095238095238,45.23809523809524,0.17671130952380953
delayed,1,19,4,21,18.38095238095238,43.285714285714285,0.16908482142857142
delayed,1,19,5,21,18.38095238095238,35.95238095238095,0.14043898809523808
delayed,1,19,6,21,18.38095238095238,36.61904761904762,0.14304315476190477
delayed,1,19,7,21,18.38095238095238,45.42857142857143,0.17745535714285715
delayed,1,19,8,21,18.38095238095238,39.80952380952381,0.15550595238095238
delayed,1,19,9,21,18.38095238095238,44.57142857142857,0.17410714285714285
delayed,1,19,10,21,18.38095238095238,38.333333333333336,0.14973958333333334
delayed,1,19,11,21,18.38095238095238,38.04761904761905,0.14862351190476192
delayed,1,19,12,21,18.38095238095238,42.857142857142854,0.16741071428571427
delayed,1,19,13,21,18.38095238095238,40.523809523809526,0.15829613095238096
delayed,1,19,14,21,18.38095238095238,41.714285714285715,0.16294642857142858
delayed,1,19,15,21,18.38095238095238,43.523809523809526,0.17001488095238096
delayed,1,19,16,21,18.38095238095238,34.76190476190476,0.13578869047619047
delayed,1,19,17,21,18.38095238095238,39.523809523809526,0.15438988095238096
delayed,1,19,18,21,18.38095238095238,36.714285714285715,0.14341517857142858
delayed,1,19,19,21,18.38095238095238,43.04761904761905,0.16815476190476192
delayed,1,20,1,20,19.95,47.6,0.1859375
delayed,1,20,2,20,19.95,45.3,0.176953125
delayed,1,20,3,20,19.95,47.1,0.183984375
delayed,1,20,4,20,19.95,44.65,0.1744140625
delayed,1,20,5,20,19.95,39.65,0.1548828125
delayed,1,20,6,20,19.95,35.65,0.1392578125
delayed,1,20,7,20,19.95,50.25,0.1962890625
delayed,1,20,8,20,19.95,43.45,0.1697265625
delayed,1,20,9,20,19.95,45.85,0.1791015625
delayed,1,20,10,20,19.95,41.85,0.1634765625
delayed,1,20,11,20,19.95,42.5,0.166015625
delayed,1,20,12,20,19.95,46.15,0.1802734375
delayed,1,20,13,20,19.95,49.35,0.1927734375
delayed,1,20,14,20,19.95,53.95,0.2107421875
delayed,1,20,15,20,19.95,55.05,0.2150390625
delayed,1,20,16,20,19.95,48.5,0.189453125
delayed,1,20,17,20,19.95,44.8,0.175
delayed,1,20,18,20,19.95,42.4,0.165625
delayed,1,20,19,20,19.95,49.5,0.193359375
delayed,1,21,1,17,19.235294117647058,50.35294117647059,0.19669117647058823
delayed,1,21,2,17,19.235294117647058,47.8235294117647,0.18681066176470587
delayed,1,21,3,17,19.235294117647058,48.705882352941174,0.19025735294117646
delayed,1,21,4,17,19.235294117647058,46.64705882352941,0.18221507352941177
delayed,1,21,5,17,19.235294117647058,34.35294117647059,0.13419117647058823
delayed,1,21,6,17,19.235294117647058,35.470588235294116,0.13855698529411764
delayed,1,21,7,17,19.235294117647058,48.23529411764706,0.18841911764705882
delayed,1,21,8,17,19.235294117647058,44.705882352941174,0.17463235294117646
delayed,1,21,9,17,19.235294117647058,44.588235294117645,0.17417279411764705
delayed,1,21,10,17,19.235294117647058,43.470588235294116,0.16980698529411764
delayed,1,21,11,17,19.235294117647058,43.11764705882353,0.1684283088235294
delayed,1,21,12,17,19.235294117647058,46.05882352941177,0.17991727941176472
delayed,1,21,13,17,19.235294117647058,42.1764705882353,0.16475183823529413
delayed,1,21,14,17,19.235294117647058,43.05882352941177,0.16819852941176472
delayed,1,21,15,17,19.235294117647058,48.35294117647059,0.18887867647058823
